(SWITCH_ON INSTRUMENT6 SATELLITE3)
(TURN_TO SATELLITE3 GROUNDSTATION4 GROUNDSTATION2)
(CALIBRATE SATELLITE3 INSTRUMENT6 GROUNDSTATION4)
(TURN_TO SATELLITE3 PHENOMENON5 GROUNDSTATION4)
(TURN_TO SATELLITE3 PLANET8 PHENOMENON5)
(TURN_TO SATELLITE3 PLANET9 PLANET8)
(TAKE_IMAGE SATELLITE3 PLANET9 INSTRUMENT6 IMAGE0)
(TAKE_IMAGE SATELLITE3 STAR6 INSTRUMENT6 IMAGE1)
(TURN_TO SATELLITE2 PHENOMENON5 GROUNDSTATION0)
(TURN_TO SATELLITE0 PHENOMENON5 PLANET11)
(CALIBRATE SATELLITE0 INSTRUMENT3 PHENOMENON5)
(TURN_TO SATELLITE0 PLANET11 PHENOMENON5)
(TAKE_IMAGE SATELLITE0 PLANET11 INSTRUMENT3 IMAGE2)
