(SWITCH_ON INSTRUMENT5 SATELLITE3)
(CALIBRATE SATELLITE3 INSTRUMENT5 STAR6)
(SWITCH_ON INSTRUMENT4 SATELLITE1)
(TURN_TO SATELLITE3 PLANET9 STAR6)
(TAKE_IMAGE SATELLITE3 PLANET9 INSTRUMENT5 IMAGE3)
(TURN_TO SATELLITE2 PHENOMENON5 GROUNDSTATION0)
(TURN_TO SATELLITE1 PHENOMENON5 STAR8)
(TURN_TO SATELLITE1 PLANET11 PHENOMENON5)
(CALIBRATE SATELLITE1 INSTRUMENT4 PLANET11)
(TAKE_IMAGE SATELLITE1 PLANET11 INSTRUMENT4 IMAGE2)
(TURN_TO SATELLITE1 PHENOMENON5 PLANET11)
(TAKE_IMAGE SATELLITE1 PHENOMENON5 INSTRUMENT4 IMAGE2)
(TURN_TO SATELLITE1 PLANET8 PHENOMENON5)
(TAKE_IMAGE SATELLITE1 PLANET8 INSTRUMENT4 IMAGE2)
(TURN_TO SATELLITE1 STAR1 PLANET8)
(TURN_TO SATELLITE3 STAR7 PLANET9)
(TURN_TO SATELLITE1 STAR7 STAR1)
(TAKE_IMAGE SATELLITE1 STAR7 INSTRUMENT4 IMAGE2)
(TURN_TO SATELLITE1 STAR1 STAR7)
