(FLY PLANE3 CITY0 CITY1 FL5 FL4)
(BOARD PERSON6 PLANE3 CITY1)
(FLY PLANE3 CITY1 CITY5 FL4 FL3)
(DEBARK PERSON6 PLANE3 CITY5)
(FLY PLANE3 CITY5 CITY2 FL3 FL2)
(BOARD PERSON8 PLANE3 CITY2)
(BOARD PERSON7 PLANE3 CITY2)
(FLY PLANE3 CITY2 CITY1 FL2 FL1)
(DEBARK PERSON8 PLANE3 CITY1)
(BOARD PERSON5 PLANE3 CITY1)
(BOARD PERSON1 PLANE3 CITY1)
(BOARD PERSON2 PLANE2 CITY4)
(FLY PLANE2 CITY4 CITY0 FL2 FL1)
(DEBARK PERSON2 PLANE2 CITY0)
(BOARD PERSON4 PLANE1 CITY3)
(FLY PLANE3 CITY1 CITY2 FL1 FL0)
(DEBARK PERSON5 PLANE3 CITY2)
(BOARD PERSON3 PLANE3 CITY2)
(REFUEL PLANE3 CITY2 FL0 FL1)
(FLY PLANE3 CITY2 CITY1 FL1 FL0)
(REFUEL PLANE3 CITY1 FL0 FL1)
(DEBARK PERSON3 PLANE3 CITY1)
(FLY PLANE3 CITY1 CITY3 FL1 FL0)
(DEBARK PERSON7 PLANE3 CITY3)
(DEBARK PERSON1 PLANE3 CITY3)
(FLY PLANE1 CITY3 CITY4 FL6 FL5)
(DEBARK PERSON4 PLANE1 CITY4)
