(DRIVE-TRUCK TRUCK1 S1 S0 DRIVER1)
(BOARD-TRUCK DRIVER3 TRUCK3 S3)
(DRIVE-TRUCK TRUCK3 S3 S8 DRIVER3)
(DRIVE-TRUCK TRUCK1 S0 S1 DRIVER1)
(LOAD-TRUCK PACKAGE3 TRUCK3 S8)
(DRIVE-TRUCK TRUCK3 S8 S0 DRIVER3)
(DISEMBARK-TRUCK DRIVER1 TRUCK1 S1)
(DRIVE-TRUCK TRUCK3 S0 S2 DRIVER3)
(DRIVE-TRUCK TRUCK3 S0 S9 DRIVER3)
(DRIVE-TRUCK TRUCK3 S9 S3 DRIVER3)
(DRIVE-TRUCK TRUCK3 S3 S9 DRIVER3)
(UNLOAD-TRUCK PACKAGE3 TRUCK3 S4)
(DRIVE-TRUCK TRUCK3 S4 S9 DRIVER3)
(DRIVE-TRUCK TRUCK3 S9 S0 DRIVER3)
(DRIVE-TRUCK TRUCK3 S0 S9 DRIVER3)
(DRIVE-TRUCK TRUCK1 S1 S6 DRIVER1)
(DRIVE-TRUCK TRUCK1 S6 S7 DRIVER1)
(DRIVE-TRUCK TRUCK3 S9 S7 DRIVER3)
(UNLOAD-TRUCK PACKAGE4 TRUCK3 S7)
