(SWITCH_ON INSTRUMENT2 SATELLITE2)
(TURN_TO SATELLITE3 PLANET5 STAR1)
(TURN_TO SATELLITE2 PHENOMENON8 STAR16)
(CALIBRATE SATELLITE2 INSTRUMENT2 PLANET10)
(TAKE_IMAGE SATELLITE2 PHENOMENON8 INSTRUMENT2 IMAGE2)
(TURN_TO SATELLITE2 PLANET10 PHENOMENON8)
(TURN_TO SATELLITE2 PLANET5 PLANET10)
(TURN_TO SATELLITE2 PLANET10 PLANET5)
(TURN_TO SATELLITE2 STAR15 PLANET10)
(TAKE_IMAGE SATELLITE2 STAR15 INSTRUMENT2 INFRARED0)
(TURN_TO SATELLITE2 PLANET10 STAR15)
(TURN_TO SATELLITE2 STAR7 PLANET10)
(TAKE_IMAGE SATELLITE2 STAR7 INSTRUMENT2 IMAGE4)
(TURN_TO SATELLITE2 PLANET10 STAR7)
