(SWITCH_ON INSTRUMENT7 SATELLITE1)
(TURN_TO SATELLITE2 PHENOMENON5 GROUNDSTATION0)
(TURN_TO SATELLITE1 PHENOMENON5 GROUNDSTATION2)
(TURN_TO SATELLITE1 STAR8 PHENOMENON5)
(CALIBRATE SATELLITE1 INSTRUMENT7 STAR8)
(TAKE_IMAGE SATELLITE1 PHENOMENON5 INSTRUMENT7 IMAGE2)
(TURN_TO SATELLITE1 PLANET11 PHENOMENON5)
(TURN_TO SATELLITE1 PLANET8 PLANET11)
(TAKE_IMAGE SATELLITE1 PLANET9 INSTRUMENT7 IMAGE3)
(TURN_TO SATELLITE1 STAR1 PLANET9)
(TURN_TO SATELLITE1 STAR7 STAR1)
(TAKE_IMAGE SATELLITE1 STAR7 INSTRUMENT7 IMAGE2)
