(SWITCH_ON INSTRUMENT3 SATELLITE3)
(TURN_TO SATELLITE3 PHENOMENON5 STAR3)
(TURN_TO SATELLITE2 PHENOMENON5 GROUNDSTATION2)
(TURN_TO SATELLITE1 STAR7 STAR6)
(CALIBRATE SATELLITE0 INSTRUMENT4 GROUNDSTATION2)
(TAKE_IMAGE SATELLITE0 PLANET9 INSTRUMENT4 IMAGE1)
(TURN_TO SATELLITE0 STAR3 PLANET9)
(TAKE_IMAGE SATELLITE0 STAR3 INSTRUMENT4 IMAGE1)
(TURN_TO SATELLITE3 PLANET12 PHENOMENON5)
(CALIBRATE SATELLITE3 INSTRUMENT3 PLANET12)
(TURN_TO SATELLITE3 PHENOMENON5 PLANET12)
(TAKE_IMAGE SATELLITE3 PHENOMENON5 INSTRUMENT3 IMAGE2)
(TURN_TO SATELLITE3 PLANET10 PHENOMENON5)
(TAKE_IMAGE SATELLITE3 PLANET11 INSTRUMENT3 IMAGE2)
