(SWITCH_ON INSTRUMENT5 SATELLITE3)
(SWITCH_ON INSTRUMENT0 SATELLITE1)
(SWITCH_ON INSTRUMENT2 SATELLITE2)
(CALIBRATE SATELLITE1 INSTRUMENT0 PHENOMENON5)
(TAKE_IMAGE SATELLITE1 PHENOMENON5 INSTRUMENT0 IMAGE2)
(TURN_TO SATELLITE3 STAR7 GROUNDSTATION2)
(TURN_TO SATELLITE3 PLANET9 STAR7)
(TURN_TO SATELLITE3 STAR3 PLANET9)
(TAKE_IMAGE SATELLITE3 STAR3 INSTRUMENT5 IMAGE1)
(TURN_TO SATELLITE1 STAR7 PLANET11)
(TURN_TO SATELLITE2 STAR7 PLANET9)
(CALIBRATE SATELLITE2 INSTRUMENT2 STAR7)
(TURN_TO SATELLITE2 PLANET10 STAR7)
(TAKE_IMAGE SATELLITE2 PLANET10 INSTRUMENT2 IMAGE0)
