(SWITCH_ON INSTRUMENT1 SATELLITE4)
(TURN_TO SATELLITE4 PHENOMENON13 PLANET10)
(TURN_TO SATELLITE4 PLANET5 PHENOMENON13)
(TURN_TO SATELLITE3 PLANET9 GROUNDSTATION3)
(TURN_TO SATELLITE1 PLANET10 STAR16)
(TURN_TO SATELLITE2 STAR11 STAR0)
(TURN_TO SATELLITE4 STAR16 PLANET5)
(CALIBRATE SATELLITE4 INSTRUMENT1 STAR16)
(TURN_TO SATELLITE4 PHENOMENON13 STAR16)
(TAKE_IMAGE SATELLITE4 PHENOMENON13 INSTRUMENT1 IMAGE2)
(TURN_TO SATELLITE4 PHENOMENON8 PHENOMENON13)
(TAKE_IMAGE SATELLITE4 PHENOMENON8 INSTRUMENT1 IMAGE4)
(TURN_TO SATELLITE4 PLANET9 PHENOMENON8)
(TAKE_IMAGE SATELLITE4 PLANET9 INSTRUMENT1 IMAGE2)
(TURN_TO SATELLITE4 STAR11 PLANET9)
(TAKE_IMAGE SATELLITE4 STAR11 INSTRUMENT1 INFRARED0)
(TURN_TO SATELLITE4 PLANET5 STAR11)
(TURN_TO SATELLITE4 STAR2 PLANET5)
(TAKE_IMAGE SATELLITE4 STAR2 INSTRUMENT1 IMAGE4)
(TURN_TO SATELLITE4 STAR7 STAR2)
(TAKE_IMAGE SATELLITE4 STAR7 INSTRUMENT1 IMAGE2)
(TURN_TO SATELLITE4 PLANET5 STAR7)
