(SWITCH_ON INSTRUMENT0 SATELLITE4)
(SWITCH_ON INSTRUMENT6 SATELLITE1)
(SWITCH_ON INSTRUMENT9 SATELLITE0)
(TURN_TO SATELLITE4 PHENOMENON6 PHENOMENON13)
(TURN_TO SATELLITE3 STAR4 STAR3)
(TURN_TO SATELLITE0 PHENOMENON12 PHENOMENON8)
(TURN_TO SATELLITE4 STAR9 PHENOMENON6)
(CALIBRATE SATELLITE4 INSTRUMENT0 STAR9)
(TURN_TO SATELLITE4 PHENOMENON6 STAR9)
(TAKE_IMAGE SATELLITE4 PHENOMENON6 INSTRUMENT0 IMAGE2)
(TURN_TO SATELLITE4 PLANET10 PHENOMENON6)
(TAKE_IMAGE SATELLITE4 PLANET10 INSTRUMENT0 IMAGE2)
(TURN_TO SATELLITE4 STAR14 PLANET10)
(TAKE_IMAGE SATELLITE4 STAR14 INSTRUMENT0 IMAGE2)
(TURN_TO SATELLITE4 PLANET10 STAR14)
(TURN_TO SATELLITE2 PHENOMENON8 STAR9)
(TURN_TO SATELLITE1 STAR3 PHENOMENON6)
(CALIBRATE SATELLITE1 INSTRUMENT6 STAR3)
(TURN_TO SATELLITE1 PHENOMENON6 STAR3)
(TURN_TO SATELLITE1 PHENOMENON8 PHENOMENON6)
(TAKE_IMAGE SATELLITE1 PHENOMENON8 INSTRUMENT6 INFRARED1)
(TURN_TO SATELLITE2 PLANET11 PHENOMENON8)
(TURN_TO SATELLITE1 PHENOMENON6 PHENOMENON8)
(TURN_TO SATELLITE0 PHENOMENON13 PHENOMENON12)
(CALIBRATE SATELLITE0 INSTRUMENT9 PHENOMENON13)
(TURN_TO SATELLITE0 PHENOMENON12 PHENOMENON13)
(TAKE_IMAGE SATELLITE0 PHENOMENON12 INSTRUMENT9 IMAGE3)
(TURN_TO SATELLITE0 PLANET11 PHENOMENON12)
(TAKE_IMAGE SATELLITE0 PLANET11 INSTRUMENT9 IMAGE3)
