(SWITCH_ON INSTRUMENT0 SATELLITE4)
(SWITCH_ON INSTRUMENT9 SATELLITE1)
(SWITCH_ON INSTRUMENT3 SATELLITE0)
(TURN_TO SATELLITE4 GROUNDSTATION3 STAR11)
(CALIBRATE SATELLITE4 INSTRUMENT0 GROUNDSTATION3)
(TURN_TO SATELLITE4 PLANET9 GROUNDSTATION3)
(TURN_TO SATELLITE3 PLANET5 STAR0)
(TURN_TO SATELLITE2 PLANET10 PLANET9)
(TURN_TO SATELLITE1 STAR4 STAR12)
(CALIBRATE SATELLITE1 INSTRUMENT9 STAR4)
(TURN_TO SATELLITE1 PHENOMENON8 STAR4)
(TAKE_IMAGE SATELLITE1 PHENOMENON8 INSTRUMENT9 IMAGE2)
(TURN_TO SATELLITE1 PLANET5 PHENOMENON8)
(TAKE_IMAGE SATELLITE1 PLANET5 INSTRUMENT9 IMAGE2)
(TURN_TO SATELLITE1 STAR7 PLANET5)
(TAKE_IMAGE SATELLITE1 STAR7 INSTRUMENT9 IMAGE2)
(TURN_TO SATELLITE0 STAR7 STAR6)
(CALIBRATE SATELLITE0 INSTRUMENT3 STAR7)
(TAKE_IMAGE SATELLITE0 STAR7 INSTRUMENT3 IMAGE4)
(TURN_TO SATELLITE0 PHENOMENON8 STAR7)
(TAKE_IMAGE SATELLITE0 PHENOMENON8 INSTRUMENT3 IMAGE4)
(TURN_TO SATELLITE4 STAR15 PLANET9)
(TAKE_IMAGE SATELLITE4 STAR15 INSTRUMENT0 INFRARED0)
(TURN_TO SATELLITE4 PLANET9 STAR15)
