(SWITCH_ON INSTRUMENT8 SATELLITE1)
(TURN_TO SATELLITE2 PLANET5 STAR15)
(TURN_TO SATELLITE4 STAR2 STAR11)
(CALIBRATE SATELLITE4 INSTRUMENT10 STAR2)
(TURN_TO SATELLITE4 PHENOMENON14 STAR2)
(TAKE_IMAGE SATELLITE4 PHENOMENON14 INSTRUMENT10 IMAGE2)
(TURN_TO SATELLITE4 PHENOMENON8 PHENOMENON14)
(TAKE_IMAGE SATELLITE4 PHENOMENON8 INSTRUMENT10 IMAGE2)
(TURN_TO SATELLITE4 STAR11 PHENOMENON8)
(TAKE_IMAGE SATELLITE4 STAR11 INSTRUMENT10 IMAGE2)
(TURN_TO SATELLITE1 STAR16 PLANET10)
(TURN_TO SATELLITE1 PLANET10 STAR16)
(TAKE_IMAGE SATELLITE1 PLANET10 INSTRUMENT8 IMAGE4)
(TURN_TO SATELLITE1 STAR7 PLANET9)
(TAKE_IMAGE SATELLITE1 STAR7 INSTRUMENT8 IMAGE4)
