(SWITCH_ON INSTRUMENT6 SATELLITE4)
(SWITCH_ON INSTRUMENT2 SATELLITE3)
(SWITCH_ON INSTRUMENT5 SATELLITE1)
(TURN_TO SATELLITE4 PHENOMENON13 STAR0)
(TURN_TO SATELLITE3 STAR0 PLANET11)
(CALIBRATE SATELLITE3 INSTRUMENT2 STAR0)
(TURN_TO SATELLITE2 PHENOMENON12 STAR2)
(TURN_TO SATELLITE4 PHENOMENON7 PHENOMENON13)
(CALIBRATE SATELLITE4 INSTRUMENT6 PHENOMENON7)
(TURN_TO SATELLITE4 PHENOMENON13 PHENOMENON7)
(TAKE_IMAGE SATELLITE4 PHENOMENON13 INSTRUMENT6 IMAGE3)
(TURN_TO SATELLITE4 PLANET10 PHENOMENON13)
(TURN_TO SATELLITE3 PLANET11 STAR0)
(TAKE_IMAGE SATELLITE3 PLANET11 INSTRUMENT2 IMAGE2)
(TURN_TO SATELLITE3 STAR0 PLANET11)
(TURN_TO SATELLITE1 STAR14 PLANET5)
(CALIBRATE SATELLITE1 INSTRUMENT5 STAR14)
(TURN_TO SATELLITE1 STAR9 STAR14)
(TAKE_IMAGE SATELLITE1 STAR9 INSTRUMENT5 IMAGE4)
(TURN_TO SATELLITE1 PHENOMENON7 STAR9)
(TAKE_IMAGE SATELLITE1 PHENOMENON7 INSTRUMENT5 INFRARED1)
(TURN_TO SATELLITE1 PLANET11 PHENOMENON7)
(TAKE_IMAGE SATELLITE1 PLANET11 INSTRUMENT5 IMAGE4)
