(SWITCH_ON INSTRUMENT0 SATELLITE4)
(SWITCH_ON INSTRUMENT2 SATELLITE3)
(SWITCH_ON INSTRUMENT9 SATELLITE2)
(CALIBRATE SATELLITE2 INSTRUMENT9 STAR2)
(TURN_TO SATELLITE4 PHENOMENON13 STAR4)
(TURN_TO SATELLITE2 PHENOMENON12 STAR2)
(TURN_TO SATELLITE4 PLANET10 PHENOMENON13)
(CALIBRATE SATELLITE4 INSTRUMENT0 PLANET10)
(TURN_TO SATELLITE4 PHENOMENON13 PLANET10)
(TAKE_IMAGE SATELLITE4 PHENOMENON13 INSTRUMENT0 IMAGE3)
(TURN_TO SATELLITE4 PLANET10 PHENOMENON13)
(TURN_TO SATELLITE3 PLANET10 PHENOMENON7)
(CALIBRATE SATELLITE3 INSTRUMENT2 PLANET10)
(TURN_TO SATELLITE3 PHENOMENON7 PLANET10)
(TAKE_IMAGE SATELLITE3 PHENOMENON7 INSTRUMENT2 INFRARED1)
(TURN_TO SATELLITE3 STAR0 PHENOMENON7)
(TURN_TO SATELLITE2 PLANET11 PHENOMENON12)
(TAKE_IMAGE SATELLITE2 PLANET11 INSTRUMENT9 IMAGE2)
(TAKE_IMAGE SATELLITE2 PLANET11 INSTRUMENT9 IMAGE4)
(TURN_TO SATELLITE2 PHENOMENON12 PLANET11)
(TURN_TO SATELLITE2 STAR9 PHENOMENON12)
(TAKE_IMAGE SATELLITE2 STAR9 INSTRUMENT9 IMAGE4)
(TURN_TO SATELLITE2 PHENOMENON12 STAR9)
