(SWITCH_ON INSTRUMENT0 SATELLITE4)
(TURN_TO SATELLITE4 PHENOMENON8 STAR16)
(TURN_TO SATELLITE4 PHENOMENON8 STAR2)
(TAKE_IMAGE SATELLITE4 PHENOMENON8 INSTRUMENT0 IMAGE4)
(TURN_TO SATELLITE4 PLANET5 PHENOMENON8)
(TAKE_IMAGE SATELLITE4 PLANET5 INSTRUMENT0 IMAGE2)
(TURN_TO SATELLITE4 PLANET9 PLANET5)
(TURN_TO SATELLITE4 STAR7 PLANET9)
(TAKE_IMAGE SATELLITE4 STAR7 INSTRUMENT0 IMAGE2)
(TAKE_IMAGE SATELLITE4 STAR7 INSTRUMENT0 IMAGE4)
(TURN_TO SATELLITE4 PLANET9 STAR7)
(TURN_TO SATELLITE2 PHENOMENON14 PLANET10)
(CALIBRATE SATELLITE2 INSTRUMENT8 PHENOMENON14)
(TAKE_IMAGE SATELLITE2 STAR15 INSTRUMENT8 INFRARED0)
(TURN_TO SATELLITE2 PLANET10 STAR15)
