(SWITCH_ON INSTRUMENT5 SATELLITE4)
(SWITCH_ON INSTRUMENT0 SATELLITE1)
(SWITCH_ON INSTRUMENT7 SATELLITE0)
(TAKE_IMAGE SATELLITE4 PLANET10 INSTRUMENT5 IMAGE2)
(TURN_TO SATELLITE4 PLANET5 PLANET10)
(TURN_TO SATELLITE2 PLANET9 STAR1)
(TURN_TO SATELLITE4 STAR11 PLANET5)
(TURN_TO SATELLITE4 PHENOMENON14 STAR11)
(TURN_TO SATELLITE3 PLANET10 PLANET5)
(CALIBRATE SATELLITE1 INSTRUMENT0 STAR7)
(TURN_TO SATELLITE1 PHENOMENON13 STAR7)
(TURN_TO SATELLITE0 STAR0 PLANET10)
(CALIBRATE SATELLITE0 INSTRUMENT7 STAR0)
(TURN_TO SATELLITE3 STAR6 PLANET10)
