(SWITCH_ON INSTRUMENT5 SATELLITE4)
(CALIBRATE SATELLITE4 INSTRUMENT5 STAR0)
(SWITCH_ON INSTRUMENT7 SATELLITE0)
(TAKE_IMAGE SATELLITE4 PLANET10 INSTRUMENT5 IMAGE2)
(TURN_TO SATELLITE4 PLANET5 PLANET10)
(TURN_TO SATELLITE2 PLANET9 STAR1)
(TURN_TO SATELLITE1 PHENOMENON13 STAR4)
(TURN_TO SATELLITE0 PLANET10 STAR11)
(TURN_TO SATELLITE4 STAR11 PLANET5)
(TAKE_IMAGE SATELLITE4 STAR11 INSTRUMENT5 IMAGE2)
(TURN_TO SATELLITE4 PHENOMENON14 STAR11)
(TURN_TO SATELLITE4 PLANET5 PHENOMENON14)
(CALIBRATE SATELLITE1 INSTRUMENT0 STAR7)
(TAKE_IMAGE SATELLITE1 STAR7 INSTRUMENT0 IMAGE4)
(TURN_TO SATELLITE1 PHENOMENON13 STAR7)
(TURN_TO SATELLITE1 PHENOMENON14 PHENOMENON13)
(TAKE_IMAGE SATELLITE1 PHENOMENON14 INSTRUMENT0 IMAGE4)
(CALIBRATE SATELLITE0 INSTRUMENT7 STAR0)
(TURN_TO SATELLITE0 STAR6 STAR0)
(TAKE_IMAGE SATELLITE0 STAR6 INSTRUMENT7 INFRARED0)
