(SWITCH_ON INSTRUMENT0 SATELLITE1)
(CALIBRATE SATELLITE1 INSTRUMENT0 GROUNDSTATION4)
(TURN_TO SATELLITE3 PLANET10 PLANET8)
(TURN_TO SATELLITE2 PHENOMENON5 PLANET9)
(TAKE_IMAGE SATELLITE1 PHENOMENON5 INSTRUMENT0 IMAGE1)
(TURN_TO SATELLITE3 STAR6 PLANET10)
(CALIBRATE SATELLITE3 INSTRUMENT5 STAR6)
(TURN_TO SATELLITE3 PLANET10 STAR6)
(TURN_TO SATELLITE3 PLANET11 PLANET10)
(TAKE_IMAGE SATELLITE3 PLANET11 INSTRUMENT5 IMAGE0)
(TURN_TO SATELLITE3 PLANET9 PLANET11)
(TAKE_IMAGE SATELLITE3 PLANET9 INSTRUMENT5 IMAGE2)
(TAKE_IMAGE SATELLITE3 STAR3 INSTRUMENT5 IMAGE0)
