(SWITCH_ON INSTRUMENT1 SATELLITE4)
(SWITCH_ON INSTRUMENT4 SATELLITE0)
(SWITCH_ON INSTRUMENT3 SATELLITE1)
(TURN_TO SATELLITE4 PHENOMENON8 PLANET11)
(TURN_TO SATELLITE3 STAR4 PLANET5)
(TURN_TO SATELLITE1 GROUNDSTATION1 STAR9)
(CALIBRATE SATELLITE1 INSTRUMENT3 GROUNDSTATION1)
(TURN_TO SATELLITE1 PHENOMENON12 GROUNDSTATION1)
(TAKE_IMAGE SATELLITE1 PHENOMENON12 INSTRUMENT3 IMAGE3)
(TURN_TO SATELLITE1 PHENOMENON6 PHENOMENON12)
(TURN_TO SATELLITE0 PHENOMENON6 STAR0)
(TURN_TO SATELLITE4 STAR4 PHENOMENON8)
(CALIBRATE SATELLITE4 INSTRUMENT1 STAR4)
(TURN_TO SATELLITE4 PHENOMENON8 STAR4)
(TAKE_IMAGE SATELLITE4 PHENOMENON8 INSTRUMENT1 INFRARED1)
(TURN_TO SATELLITE4 PLANET10 PHENOMENON8)
(TURN_TO SATELLITE1 PLANET11 PHENOMENON6)
(TAKE_IMAGE SATELLITE1 PLANET11 INSTRUMENT3 IMAGE3)
(TURN_TO SATELLITE1 PHENOMENON6 PLANET11)
(TURN_TO SATELLITE0 STAR9 PHENOMENON6)
(CALIBRATE SATELLITE0 INSTRUMENT4 STAR9)
(TURN_TO SATELLITE0 PHENOMENON6 STAR9)
(TAKE_IMAGE SATELLITE0 PHENOMENON6 INSTRUMENT4 IMAGE2)
(TURN_TO SATELLITE0 PLANET10 PHENOMENON6)
(TAKE_IMAGE SATELLITE0 PLANET10 INSTRUMENT4 IMAGE2)
(TURN_TO SATELLITE0 STAR14 PLANET10)
(TAKE_IMAGE SATELLITE0 STAR14 INSTRUMENT4 IMAGE2)
