(SWITCH_ON INSTRUMENT2 SATELLITE3)
(TURN_TO SATELLITE2 PHENOMENON5 GROUNDSTATION2)
(TURN_TO SATELLITE1 STAR1 GROUNDSTATION4)
(TURN_TO SATELLITE3 GROUNDSTATION4 PLANET11)
(CALIBRATE SATELLITE3 INSTRUMENT2 GROUNDSTATION4)
(TURN_TO SATELLITE3 PHENOMENON5 GROUNDSTATION4)
(TAKE_IMAGE SATELLITE3 PHENOMENON5 INSTRUMENT2 IMAGE2)
(TURN_TO SATELLITE3 PLANET11 PHENOMENON5)
(TAKE_IMAGE SATELLITE3 PLANET11 INSTRUMENT2 IMAGE3)
(TURN_TO SATELLITE3 PLANET8 PLANET11)
(TAKE_IMAGE SATELLITE3 PLANET8 INSTRUMENT2 IMAGE1)
(TURN_TO SATELLITE3 PLANET9 PLANET8)
(TAKE_IMAGE SATELLITE3 PLANET9 INSTRUMENT2 IMAGE1)
(TURN_TO SATELLITE3 STAR7 PLANET9)
(TAKE_IMAGE SATELLITE3 STAR7 INSTRUMENT2 IMAGE1)
