(SWITCH_ON INSTRUMENT6 SATELLITE3)
(SWITCH_ON INSTRUMENT3 SATELLITE0)
(TURN_TO SATELLITE3 GROUNDSTATION4 GROUNDSTATION2)
(CALIBRATE SATELLITE3 INSTRUMENT6 GROUNDSTATION4)
(TURN_TO SATELLITE3 PHENOMENON5 GROUNDSTATION4)
(TAKE_IMAGE SATELLITE3 PHENOMENON5 INSTRUMENT6 IMAGE1)
(TURN_TO SATELLITE3 PLANET8 PHENOMENON5)
(TAKE_IMAGE SATELLITE3 PLANET8 INSTRUMENT6 IMAGE1)
(TURN_TO SATELLITE3 PLANET9 PLANET8)
(TAKE_IMAGE SATELLITE3 PLANET9 INSTRUMENT6 IMAGE0)
(TURN_TO SATELLITE3 STAR6 PLANET9)
(TAKE_IMAGE SATELLITE3 STAR6 INSTRUMENT6 IMAGE1)
(TURN_TO SATELLITE2 PHENOMENON5 GROUNDSTATION0)
(TURN_TO SATELLITE1 STAR7 PLANET9)
(TURN_TO SATELLITE0 PHENOMENON5 PLANET11)
(CALIBRATE SATELLITE0 INSTRUMENT3 PHENOMENON5)
(TURN_TO SATELLITE0 PLANET11 PHENOMENON5)
(TAKE_IMAGE SATELLITE0 PLANET11 INSTRUMENT3 IMAGE2)
