(SWITCH_ON INSTRUMENT5 SATELLITE1)
(CALIBRATE SATELLITE1 INSTRUMENT5 PHENOMENON8)
(TAKE_IMAGE SATELLITE1 PHENOMENON8 INSTRUMENT5 IMAGE2)
(TURN_TO SATELLITE4 STAR16 STAR12)
(TURN_TO SATELLITE4 STAR7 STAR16)
(TURN_TO SATELLITE3 PLANET10 STAR16)
(TAKE_IMAGE SATELLITE1 PHENOMENON14 INSTRUMENT5 IMAGE2)
(TURN_TO SATELLITE1 PLANET10 PHENOMENON14)
(TURN_TO SATELLITE1 PLANET9 PLANET10)
(TURN_TO SATELLITE1 STAR11 PLANET9)
(TAKE_IMAGE SATELLITE1 STAR11 INSTRUMENT5 IMAGE2)
(TURN_TO SATELLITE1 STAR7 STAR11)
(TAKE_IMAGE SATELLITE1 STAR7 INSTRUMENT5 IMAGE4)
(TURN_TO SATELLITE1 PLANET9 STAR7)
