(SWITCH_ON INSTRUMENT5 SATELLITE1)
(CALIBRATE SATELLITE1 INSTRUMENT5 STAR3)
(TURN_TO SATELLITE2 PHENOMENON5 STAR1)
(TURN_TO SATELLITE1 PHENOMENON5 STAR3)
(TAKE_IMAGE SATELLITE1 PHENOMENON5 INSTRUMENT5 IMAGE0)
(TURN_TO SATELLITE1 PLANET10 PHENOMENON5)
(TAKE_IMAGE SATELLITE1 PLANET10 INSTRUMENT5 IMAGE0)
(TURN_TO SATELLITE1 PLANET8 PLANET10)
(TAKE_IMAGE SATELLITE1 PLANET8 INSTRUMENT5 IMAGE0)
(TURN_TO SATELLITE3 PLANET9 GROUNDSTATION2)
(TURN_TO SATELLITE1 PLANET9 PLANET8)
(TAKE_IMAGE SATELLITE1 PLANET9 INSTRUMENT5 IMAGE3)
(TURN_TO SATELLITE3 STAR7 PLANET9)
(TURN_TO SATELLITE1 STAR7 PLANET9)
(TAKE_IMAGE SATELLITE1 STAR7 INSTRUMENT5 IMAGE0)
(TURN_TO SATELLITE1 STAR3 STAR7)
