(SWITCH_ON INSTRUMENT3 SATELLITE2)
(SWITCH_ON INSTRUMENT1 SATELLITE1)
(SWITCH_ON INSTRUMENT5 SATELLITE0)
(TURN_TO SATELLITE4 PLANET10 PLANET5)
(TURN_TO SATELLITE3 STAR0 STAR2)
(TURN_TO SATELLITE2 PHENOMENON12 PLANET11)
(TURN_TO SATELLITE1 STAR9 GROUNDSTATION1)
(TURN_TO SATELLITE0 STAR0 STAR9)
(CALIBRATE SATELLITE1 INSTRUMENT1 STAR9)
(CALIBRATE SATELLITE0 INSTRUMENT5 STAR0)
(TURN_TO SATELLITE1 PHENOMENON7 STAR9)
(TAKE_IMAGE SATELLITE1 PHENOMENON7 INSTRUMENT1 INFRARED1)
(TURN_TO SATELLITE0 PHENOMENON13 STAR0)
(TAKE_IMAGE SATELLITE0 PHENOMENON13 INSTRUMENT5 IMAGE3)
(TURN_TO SATELLITE0 PLANET11 PHENOMENON13)
(TAKE_IMAGE SATELLITE0 PLANET11 INSTRUMENT5 IMAGE4)
(TURN_TO SATELLITE1 PLANET11 PHENOMENON7)
(TAKE_IMAGE SATELLITE1 PLANET11 INSTRUMENT1 IMAGE2)
(TURN_TO SATELLITE0 STAR9 PLANET11)
(TAKE_IMAGE SATELLITE0 STAR9 INSTRUMENT5 IMAGE4)
