(SWITCH_ON INSTRUMENT10 SATELLITE4)
(SWITCH_ON INSTRUMENT1 SATELLITE3)
(SWITCH_ON INSTRUMENT6 SATELLITE0)
(TURN_TO SATELLITE4 STAR14 PHENOMENON12)
(TURN_TO SATELLITE4 PHENOMENON12 STAR14)
(TURN_TO SATELLITE3 PHENOMENON13 STAR2)
(TAKE_IMAGE SATELLITE3 PLANET10 INSTRUMENT1 IMAGE3)
(TAKE_IMAGE SATELLITE3 PLANET11 INSTRUMENT1 IMAGE3)
(TURN_TO SATELLITE0 STAR9 PHENOMENON8)
(CALIBRATE SATELLITE0 INSTRUMENT6 STAR9)
(TAKE_IMAGE SATELLITE0 PHENOMENON8 INSTRUMENT6 INFRARED1)
(TURN_TO SATELLITE3 STAR14 PLANET11)
(TURN_TO SATELLITE3 STAR0 STAR14)
