(SWITCH_ON INSTRUMENT6 SATELLITE1)
(TURN_TO SATELLITE4 PLANET5 STAR11)
(TURN_TO SATELLITE2 PLANET9 PHENOMENON14)
(TURN_TO SATELLITE1 GROUNDSTATION3 STAR12)
(CALIBRATE SATELLITE1 INSTRUMENT6 GROUNDSTATION3)
(TURN_TO SATELLITE0 STAR4 PLANET5)
(CALIBRATE SATELLITE0 INSTRUMENT7 STAR4)
(TURN_TO SATELLITE0 PHENOMENON13 STAR4)
(TAKE_IMAGE SATELLITE0 PHENOMENON13 INSTRUMENT7 IMAGE4)
(TURN_TO SATELLITE0 STAR7 PHENOMENON13)
(TAKE_IMAGE SATELLITE0 STAR7 INSTRUMENT7 IMAGE4)
(TURN_TO SATELLITE0 STAR11 PHENOMENON14)
(TURN_TO SATELLITE0 PLANET10 STAR11)
(TAKE_IMAGE SATELLITE0 PLANET10 INSTRUMENT7 IMAGE2)
