(SWITCH_ON INSTRUMENT6 SATELLITE1)
(TURN_TO SATELLITE4 PHENOMENON6 PHENOMENON13)
(TURN_TO SATELLITE3 STAR4 STAR3)
(TURN_TO SATELLITE4 STAR9 PHENOMENON6)
(CALIBRATE SATELLITE4 INSTRUMENT0 STAR9)
(TURN_TO SATELLITE4 PLANET10 PHENOMENON6)
(TURN_TO SATELLITE2 PHENOMENON8 STAR9)
(TURN_TO SATELLITE1 PHENOMENON6 STAR3)
(TURN_TO SATELLITE1 PHENOMENON8 PHENOMENON6)
(TURN_TO SATELLITE1 PHENOMENON6 PHENOMENON8)
(TURN_TO SATELLITE0 PHENOMENON13 PHENOMENON12)
(CALIBRATE SATELLITE0 INSTRUMENT9 PHENOMENON13)
(TURN_TO SATELLITE0 PHENOMENON12 PHENOMENON13)
(TURN_TO SATELLITE0 PLANET11 PHENOMENON12)
(TAKE_IMAGE SATELLITE0 PLANET11 INSTRUMENT9 IMAGE3)
